DATETIME,RECIPE,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_SCORE,HEAD1_FILE
STRING,STRING,BOOL,DOUBLE,DOUBLE,DOUBLE,STRING
2023.03.02 17:49:03 782,,True,0,0,100,.\Image\2023\03\02\17.49.03 782.jpg
2023.03.02 17:49:04 011,,True,0,0,100,.\Image\2023\03\02\17.49.04 011.jpg
2023.03.02 17:49:04 247,,True,0,0,100,.\Image\2023\03\02\17.49.04 247.jpg
2023.03.02 17:49:04 479,,True,0,0,100,.\Image\2023\03\02\17.49.04 479.jpg
2023.03.02 17:49:04 699,,False,0,0,99.4140625,.\Image\2023\03\02\17.49.04 699.jpg
2023.03.02 17:49:04 927,,False,0,0,100,.\Image\2023\03\02\17.49.04 927.jpg
2023.03.02 17:49:05 160,,False,0,0,100,.\Image\2023\03\02\17.49.05 160.jpg
2023.03.02 17:49:05 399,,False,0,0,100,.\Image\2023\03\02\17.49.05 399.jpg
2023.03.02 17:49:05 636,,False,0,0,100,.\Image\2023\03\02\17.49.05 636.jpg
2023.03.02 17:49:05 864,,True,0,0,100,.\Image\2023\03\02\17.49.05 864.jpg
2023.03.02 17:49:06 085,,True,0,0,100,.\Image\2023\03\02\17.49.06 085.jpg
2023.03.02 17:49:06 312,,True,0,0,100,.\Image\2023\03\02\17.49.06 312.jpg
2023.03.02 17:49:06 546,,True,0,0,100,.\Image\2023\03\02\17.49.06 546.jpg
2023.03.02 17:49:06 766,,False,0,0,99.51171875,.\Image\2023\03\02\17.49.06 766.jpg
2023.03.02 17:49:06 990,,False,0,0,99.951171875,.\Image\2023\03\02\17.49.06 990.jpg
2023.03.02 17:49:07 225,,False,0,0,100,.\Image\2023\03\02\17.49.07 225.jpg
2023.03.02 17:49:07 463,,False,0,0,99.951171875,.\Image\2023\03\02\17.49.07 463.jpg
2023.03.02 17:49:07 697,,False,0,0,99.951171875,.\Image\2023\03\02\17.49.07 697.jpg
2023.03.02 17:49:07 922,,True,0,0,100,.\Image\2023\03\02\17.49.07 922.jpg
2023.03.02 17:49:08 157,,True,0,0,100,.\Image\2023\03\02\17.49.08 157.jpg
2023.03.02 17:49:08 395,,True,0,0,100,.\Image\2023\03\02\17.49.08 395.jpg
2023.03.02 17:49:08 635,,True,0,0,100,.\Image\2023\03\02\17.49.08 635.jpg
2023.03.02 17:49:08 866,,True,0,0,100,.\Image\2023\03\02\17.49.08 866.jpg
2023.03.02 17:49:09 091,,True,0,0,100,.\Image\2023\03\02\17.49.09 091.jpg
2023.03.02 17:49:09 345,,True,0,0,100,.\Image\2023\03\02\17.49.09 345.jpg
2023.03.02 17:49:09 588,,True,0,0,99.951171875,.\Image\2023\03\02\17.49.09 588.jpg
2023.03.02 17:49:09 822,,True,0,0,100,.\Image\2023\03\02\17.49.09 822.jpg
2023.03.02 17:49:10 062,,True,0,0,100,.\Image\2023\03\02\17.49.10 062.jpg
2023.03.02 17:49:10 292,,True,0,0,100,.\Image\2023\03\02\17.49.10 292.jpg
2023.03.02 17:49:10 534,,True,0,0,100,.\Image\2023\03\02\17.49.10 534.jpg
2023.03.02 17:49:10 777,,True,0,0,84.5703125,.\Image\2023\03\02\17.49.10 777.jpg
2023.03.02 17:49:11 013,,False,0,0,99.31640625,.\Image\2023\03\02\17.49.11 013.jpg
2023.03.02 17:49:11 250,,False,0,0,93.896484375,.\Image\2023\03\02\17.49.11 250.jpg
2023.03.02 17:49:11 489,,False,0,0,95.556640625,.\Image\2023\03\02\17.49.11 489.jpg
2023.03.02 17:49:11 726,,False,0,0,79.736328125,.\Image\2023\03\02\17.49.11 726.jpg
2023.03.02 17:49:11 959,,False,0,0,89.16015625,.\Image\2023\03\02\17.49.11 959.jpg
2023.03.02 17:49:12 182,,True,0,0,86.23046875,.\Image\2023\03\02\17.49.12 182.jpg
2023.03.02 17:49:12 418,,True,0,0,99.755859375,.\Image\2023\03\02\17.49.12 418.jpg
2023.03.02 17:49:12 655,,True,0,0,98.53515625,.\Image\2023\03\02\17.49.12 655.jpg
2023.03.02 17:49:12 891,,True,0,0,100,.\Image\2023\03\02\17.49.12 891.jpg
2023.03.02 17:49:13 113,,True,0,0,100,.\Image\2023\03\02\17.49.13 113.jpg
2023.03.02 17:49:13 342,,False,0,0,56.25,.\Image\2023\03\02\17.49.13 342.jpg
2023.03.02 17:49:13 574,,False,0,0,98.046875,.\Image\2023\03\02\17.49.13 574.jpg
2023.03.02 17:49:13 799,,False,0,0,98.4375,.\Image\2023\03\02\17.49.13 799.jpg
2023.03.02 17:49:14 033,,False,0,0,99.072265625,.\Image\2023\03\02\17.49.14 033.jpg
2023.03.02 17:49:14 273,,False,0,0,99.755859375,.\Image\2023\03\02\17.49.14 273.jpg
2023.03.02 17:49:14 506,,True,0,0,100,.\Image\2023\03\02\17.49.14 506.jpg
2023.03.02 17:49:14 745,,True,0,0,100,.\Image\2023\03\02\17.49.14 745.jpg
2023.03.02 17:49:14 981,,True,0,0,100,.\Image\2023\03\02\17.49.14 981.jpg
2023.03.02 17:49:15 238,,True,0,0,100,.\Image\2023\03\02\17.49.15 238.jpg
2023.03.02 17:49:15 468,,True,0,0,100,.\Image\2023\03\02\17.49.15 468.jpg
